Week start date,Number of cases,Population,Week end date,"Cases per 100,000 population"
2020-01-05,0,"1,044,484",2020-01-11,0.0
2020-01-12,0,"1,044,484",2020-01-18,0.0
2020-01-19,0,"1,044,484",2020-01-25,0.0
2020-01-26,0,"1,044,484",2020-02-01,0.0
2020-02-02,0,"1,044,484",2020-02-08,0.0
2020-02-09,0,"1,044,484",2020-02-15,0.0
2020-02-16,0,"1,044,484",2020-02-22,0.0
2020-02-23,0,"1,044,484",2020-02-29,0.0
2020-03-01,0,"1,044,484",2020-03-07,0.0
2020-03-08,9,"1,044,484",2020-03-14,0.9
2020-03-15,20,"1,044,484",2020-03-21,1.9
2020-03-22,103,"1,044,484",2020-03-28,9.9
2020-03-29,223,"1,044,484",2020-04-04,21.4
2020-04-05,224,"1,044,484",2020-04-11,21.4
2020-04-12,268,"1,044,484",2020-04-18,25.7
2020-04-19,280,"1,044,484",2020-04-25,26.8
2020-04-26,361,"1,044,484",2020-05-02,34.6
2020-05-03,149,"1,044,484",2020-05-09,14.3
2020-05-10,134,"1,044,484",2020-05-16,12.8
2020-05-17,104,"1,044,484",2020-05-23,10.0
2020-05-24,64,"1,044,484",2020-05-30,6.1
2020-05-31,56,"1,044,484",2020-06-06,5.4
2020-06-07,35,"1,044,484",2020-06-13,3.4
2020-06-14,22,"1,044,484",2020-06-20,2.1
2020-06-21,29,"1,044,484",2020-06-27,2.8
2020-06-28,29,"1,044,484",2020-07-04,2.8
2020-07-05,40,"1,044,484",2020-07-11,3.8
2020-07-12,74,"1,044,484",2020-07-18,7.1
2020-07-19,200,"1,044,484",2020-07-25,19.1
2020-07-26,129,"1,044,484",2020-08-01,12.4
2020-08-02,77,"1,044,484",2020-08-08,7.4
2020-08-09,63,"1,044,484",2020-08-15,6.0
2020-08-16,128,"1,044,484",2020-08-22,12.3
2020-08-23,118,"1,044,484",2020-08-29,11.3
2020-08-30,127,"1,044,484",2020-09-05,12.2
2020-09-06,235,"1,044,484",2020-09-12,22.5
2020-09-13,321,"1,044,484",2020-09-19,30.7
2020-09-20,454,"1,044,484",2020-09-26,43.5
2020-09-27,646,"1,044,484",2020-10-03,61.8
2020-10-04,720,"1,044,484",2020-10-10,68.9
2020-10-11,606,"1,044,484",2020-10-17,58.0
2020-10-18,500,"1,044,484",2020-10-24,47.9
2020-10-25,567,"1,044,484",2020-10-31,54.3
2020-11-01,393,"1,044,484",2020-11-07,37.6
2020-11-08,395,"1,044,484",2020-11-14,37.8
2020-11-15,253,"1,044,484",2020-11-21,24.2
2020-11-22,279,"1,044,484",2020-11-28,26.7
2020-11-29,291,"1,044,484",2020-12-05,27.9
2020-12-06,317,"1,044,484",2020-12-12,30.3
2020-12-13,285,"1,044,484",2020-12-19,27.3
2020-12-20,362,"1,044,484",2020-12-26,34.7
2020-12-27,670,"1,044,484",2021-01-02,64.1
2021-01-03,986,"1,052,526",2021-01-09,93.7
2021-01-10,904,"1,052,526",2021-01-16,85.9
2021-01-17,641,"1,052,526",2021-01-23,60.9
2021-01-24,407,"1,052,526",2021-01-30,38.7
2021-01-31,348,"1,052,526",2021-02-06,33.1
2021-02-07,289,"1,052,526",2021-02-13,27.5
2021-02-14,385,"1,052,526",2021-02-20,36.6
2021-02-21,363,"1,052,526",2021-02-27,34.5
2021-02-28,388,"1,052,526",2021-03-06,36.9
2021-03-07,461,"1,052,526",2021-03-13,43.8
2021-03-14,548,"1,052,526",2021-03-20,52.1
2021-03-21,700,"1,052,526",2021-03-27,66.5
2021-03-28,"1,190","1,052,526",2021-04-03,113.1
2021-04-04,"1,522","1,052,526",2021-04-10,144.6
2021-04-11,"2,168","1,052,526",2021-04-17,206.0
2021-04-18,"1,601","1,052,526",2021-04-24,152.1
2021-04-25,"1,162","1,052,526",2021-05-01,110.4
2021-05-02,851,"1,052,526",2021-05-08,80.9
2021-05-09,680,"1,052,526",2021-05-15,64.6
2021-05-16,543,"1,052,526",2021-05-22,51.6
2021-05-23,407,"1,052,526",2021-05-29,38.7
2021-05-30,303,"1,052,526",2021-06-05,28.8
2021-06-06,183,"1,052,526",2021-06-12,17.4
2021-06-13,142,"1,052,526",2021-06-19,13.5
2021-06-20,75,"1,052,526",2021-06-26,7.1
2021-06-27,44,"1,052,526",2021-07-03,4.2
2021-07-04,30,"1,052,526",2021-07-10,2.9
2021-07-11,17,"1,052,526",2021-07-17,1.6
2021-07-18,37,"1,052,526",2021-07-24,3.5
2021-07-25,45,"1,052,526",2021-07-31,4.3
2021-08-01,66,"1,052,526",2021-08-07,6.3
2021-08-08,117,"1,052,526",2021-08-14,11.1
2021-08-15,133,"1,052,526",2021-08-21,12.6
2021-08-22,184,"1,052,526",2021-08-28,17.5
2021-08-29,243,"1,052,526",2021-09-04,23.1
2021-09-05,329,"1,052,526",2021-09-11,31.3
2021-09-12,401,"1,052,526",2021-09-18,38.1
2021-09-19,381,"1,052,526",2021-09-25,36.2
2021-09-26,346,"1,052,526",2021-10-02,32.9
2021-10-03,270,"1,052,526",2021-10-09,25.7
2021-10-10,187,"1,052,526",2021-10-16,17.8
2021-10-17,214,"1,052,526",2021-10-23,20.3
2021-10-24,159,"1,052,526",2021-10-30,15.1
2021-10-31,238,"1,052,526",2021-11-06,22.6
2021-11-07,288,"1,052,526",2021-11-13,27.4
2021-11-14,284,"1,052,526",2021-11-20,27.0
2021-11-21,283,"1,052,526",2021-11-27,26.9
2021-11-28,365,"1,052,526",2021-12-04,34.7
2021-12-05,607,"1,052,526",2021-12-11,57.7
2021-12-12,"1,637","1,052,526",2021-12-18,155.5
2021-12-19,"4,070","1,052,526",2021-12-25,386.7
2021-12-26,"7,002","1,052,526",2022-01-01,665.3
2022-01-02,"4,825","1,071,868",2022-01-08,450.1
2022-01-09,"3,255","1,071,868",2022-01-15,303.7
2022-01-16,"2,648","1,071,868",2022-01-22,247.0
2022-01-23,"1,871","1,071,868",2022-01-29,174.6
2022-01-30,"1,505","1,071,868",2022-02-05,140.4
2022-02-06,"1,131","1,071,868",2022-02-12,105.5
2022-02-13,"1,102","1,071,868",2022-02-19,102.8
2022-02-20,870,"1,071,868",2022-02-26,81.2
2022-02-27,745,"1,071,868",2022-03-05,69.5
2022-03-06,741,"1,071,868",2022-03-12,69.1
2022-03-13,611,"1,071,868",2022-03-19,57.0
2022-03-20,737,"1,071,868",2022-03-26,68.8
2022-03-27,"1,155","1,071,868",2022-04-02,107.8
2022-04-03,"1,251","1,071,868",2022-04-09,116.7
2022-04-10,"1,276","1,071,868",2022-04-16,119.0
2022-04-17,"1,285","1,071,868",2022-04-23,119.9
2022-04-24,"1,000","1,071,868",2022-04-30,93.3
2022-05-01,760,"1,071,868",2022-05-07,70.9
2022-05-08,508,"1,071,868",2022-05-14,47.4
2022-05-15,375,"1,071,868",2022-05-21,35.0
2022-05-22,264,"1,071,868",2022-05-28,24.6
2022-05-29,285,"1,071,868",2022-06-04,26.6
2022-06-05,306,"1,071,868",2022-06-11,28.5
2022-06-12,312,"1,071,868",2022-06-18,29.1
2022-06-19,417,"1,071,868",2022-06-25,38.9
2022-06-26,487,"1,071,868",2022-07-02,45.4
2022-07-03,525,"1,071,868",2022-07-09,49.0
2022-07-10,806,"1,071,868",2022-07-16,75.2
2022-07-17,938,"1,071,868",2022-07-23,87.5
2022-07-24,830,"1,071,868",2022-07-30,77.4
2022-07-31,701,"1,071,868",2022-08-06,65.4
2022-08-07,626,"1,071,868",2022-08-13,58.4
2022-08-14,466,"1,071,868",2022-08-20,43.5
2022-08-21,440,"1,071,868",2022-08-27,41.0
2022-08-28,357,"1,071,868",2022-09-03,33.3
2022-09-04,326,"1,071,868",2022-09-10,30.4
2022-09-11,431,"1,071,868",2022-09-17,40.2
2022-09-18,495,"1,071,868",2022-09-24,46.2
2022-09-25,512,"1,071,868",2022-10-01,47.8
2022-10-02,586,"1,071,868",2022-10-08,54.7
2022-10-09,559,"1,071,868",2022-10-15,52.2
2022-10-16,578,"1,071,868",2022-10-22,53.9
2022-10-23,645,"1,071,868",2022-10-29,60.2
2022-10-30,497,"1,071,868",2022-11-05,46.4
2022-11-06,259,"1,071,868",2022-11-12,24.2
2022-11-13,268,"1,071,868",2022-11-19,25.0
2022-11-20,205,"1,071,868",2022-11-26,19.1
2022-11-27,263,"1,071,868",2022-12-03,24.5
2022-12-04,306,"1,071,868",2022-12-10,28.5
2022-12-11,338,"1,071,868",2022-12-17,31.5
2022-12-18,332,"1,071,868",2022-12-24,31.0
2022-12-25,315,"1,071,868",2022-12-31,29.4
2023-01-01,404,"1,095,575",2023-01-07,36.9
2023-01-08,300,"1,095,575",2023-01-14,27.4
2023-01-15,337,"1,095,575",2023-01-21,30.8
2023-01-22,213,"1,095,575",2023-01-28,19.4
2023-01-29,228,"1,095,575",2023-02-04,20.8
2023-02-05,201,"1,095,575",2023-02-11,18.3
2023-02-12,234,"1,095,575",2023-02-18,21.4
2023-02-19,210,"1,095,575",2023-02-25,19.2
2023-02-26,174,"1,095,575",2023-03-04,15.9
2023-03-05,225,"1,095,575",2023-03-11,20.5
2023-03-12,227,"1,095,575",2023-03-18,20.7
2023-03-19,210,"1,095,575",2023-03-25,19.2
2023-03-26,120,"1,095,575",2023-04-01,11.0
2023-04-02,114,"1,095,575",2023-04-08,10.4
2023-04-09,118,"1,095,575",2023-04-15,10.8
2023-04-16,150,"1,095,575",2023-04-22,13.7
2023-04-23,102,"1,095,575",2023-04-29,9.3
2023-04-30,71,"1,095,575",2023-05-06,6.5
2023-05-07,54,"1,095,575",2023-05-13,4.9
2023-05-14,57,"1,095,575",2023-05-20,5.2
2023-05-21,104,"1,095,575",2023-05-27,9.5
2023-05-28,62,"1,095,575",2023-06-03,5.7
2023-06-04,33,"1,095,575",2023-06-10,3.0
2023-06-11,41,"1,095,575",2023-06-17,3.7
2023-06-18,55,"1,095,575",2023-06-24,5.0
2023-06-25,27,"1,095,575",2023-07-01,2.5
2023-07-02,19,"1,095,575",2023-07-08,1.7
2023-07-09,43,"1,095,575",2023-07-15,3.9
2023-07-16,65,"1,095,575",2023-07-22,5.9
2023-07-23,39,"1,095,575",2023-07-29,3.6
2023-07-30,52,"1,095,575",2023-08-05,4.7
2023-08-06,43,"1,095,575",2023-08-12,3.9
2023-08-13,160,"1,095,575",2023-08-19,14.6
2023-08-20,195,"1,095,575",2023-08-26,17.8
2023-08-27,165,"1,095,575",2023-09-02,15.1